timestamp,open,high,low,close,volume
2025-01-01 00:00:00,43000,43001,42999,43000.5,0.0
2025-01-01 00:01:00,43001,43002,43000,43001.5,1.2
2025-01-01 00:02:00,43002,43003,43001,43002.5,2.4
2025-01-01 00:03:00,43003,43004,43002,43003.5,3.5999999999999996
2025-01-01 00:04:00,43004,43005,43003,43004.5,4.8
2025-01-01 00:05:00,43005,43006,43004,43005.5,6.0
2025-01-01 00:06:00,43006,43007,43005,43006.5,7.199999999999999
2025-01-01 00:07:00,43007,43008,43006,43007.5,8.4
2025-01-01 00:08:00,43008,43009,43007,43008.5,9.6
2025-01-01 00:09:00,43009,43010,43008,43009.5,10.799999999999999
